id_sp,kode_pt,nama_pt
3754D05B-B005-4FE4-8706-05A7896C43C6,213657,Sekolah Tinggi Ilmu Tarbiyah Assunniyah Tambarangan Rantau Tapin
4242CAC3-CB9D-4D0D-9378-05AB3D8C64E0,064006,Akademi Teknologi Semarang
9A416851-7AAC-4914-A90E-05AB7C267F05,213177,STIT Islamic Village Tangerang Banten
719A0499-BAF2-43D1-9DE7-05ACCBE71CAC,395002,Politeknik Kelautan dan Perikanan Bitung
5815D72E-0375-43D7-A4EA-05BF50704903,201002,Universitas Islam Negeri Sunan Kalijaga
BC015C09-87F6-448B-BC33-05C7801228B0,901811,Universite Lille I
D5C50C70-BDFE-4F32-88CB-05C7B43AE43F,005028,Politeknik Manufaktur Negeri Bangka Belitung
E24FEB54-8982-47E3-9A0B-05C7D0118FA4,052003,Institut Sains Dan Teknologi Akprind
C92DA1B7-6B2B-479E-A27B-05CFA9EBB46E,164023,Akademi Keperawatan Bala Keselamatan
D346367C-39D1-41DA-BC36-05D479756F84,044104,Akademi Surtasdal-As Bogor
14387EE9-A90E-465A-AD85-05D4D588B139,033070,Sekolah Tinggi Penerbangan Aviasi
3FF745F6-B326-491C-B9C9-05D89C9AF261,901405,Texas Southern University
4DEEBA7B-746B-4890-933C-05DDA1109FEB,133026,STIKES Cut Nyak Dhien Langsa
D89F9D54-B94E-4138-ADCE-05F4309F9074,053026,STMIK Proactive
E7A4ED31-3D38-4F05-8B49-05F54C158B54,901884,Universiteit Of Nijmegen
7B9F22AD-5DC9-43A5-BFBF-05FBE240C29A,024083,Akademi Perpajakan Tridarma
E55A4516-45FE-4677-9B2D-060619EA7AED,134025,Akademik Teknik Otomotif Banda Aceh
59D910E9-016D-4228-B609-060B84B8FDF7,115004,Politeknik Kotabaru
98282E58-E5DA-437D-98B1-061D4C441D96,902249,Moscow Paedagogical State University
6208AB32-DFB9-4F8D-A410-0623A64838BF,902272,Saint Petersburg State Polytechnical University
B70E7B62-753E-4D91-8A49-0624AB8FA2C4,015023,Politeknik Wilmar Bisnis Indonesia
392402EB-10B7-4DAC-B425-0629919761E1,213661,Sekolah Tinggi Ilmu Syariah al-Syaikh Abdul Wahid Bau-Bau
D219A0D8-75D6-40FA-A0BD-0629D1AE5732,023073,Sekolah Tinggi Ilmu Ekonomi Mitra Lampung
A2B31518-0D75-4EB8-9B29-063DBD193FA4,212081,Institut Agama Islam Kotamobagu
C1651296-5120-49C7-B930-063F34D57553,063126,Sekolah Tinggi Ilmu Ekonomi Studi Ekonomi Modern
18D45178-688D-4E10-8255-06442F387452,901911,Hogeschool Van Amsterdam
E430B674-6B54-48A0-B49F-064DA1AEBECB,901421,University Of La Verne
54EA46F8-D21C-4669-A738-064EC6AE09D1,213665,Sekolah Tinggi Agama Islam Tanbihul Ghofilin Banjarnegara
A77A175A-EB0E-4C26-855A-06658CE63459,033180,STIMIK Supra
56DD55D0-2111-491C-B848-0666C8B1E349,064105,Akademi Kebidanan Duta Dharma Pati
9BE6721D-A964-4DF7-8BA7-06673AE45939,111033,Universitas Muhammadiyah Sampit
FC50CF5B-9AFE-4329-B8BD-066B9FAB0688,203018,STAIN Malikussaleh 
1A3C5A9A-00E0-4458-BEA7-0675A68FF006,033214,Sekolah Tinggi Ilmu Kesehatan Tarumanagara
DE95C587-5C18-41FC-803F-067E94E8551C,074121,Akademi Analis Kesehatan Delima Husada Gresik
FB85A10B-2E92-4FB6-9512-0680D353B5BD,901760,Ecole Nationale Superieure De Techniques Avancees
E7995971-27AD-47E1-9C40-06822F3966BC,902331,Ecole Hoteliere De Lausanne
FB7DA373-CC68-4D61-91A0-068936F93D26,902177,University Palacky Olomouse
F5A610F0-8B70-4E8F-A378-068D2619B601,901822,Universite Toulouse Le Mirail
5E89C0CE-B11D-48EE-A38E-06930A7586AE,233370,Sekolah Tinggi Teologi Tabgha Batam
